Tomate Ecológico JAVIER IZU, aprox. 1,00kg (3,19 euros/kg);3,19;531
Zanahoria Ecológica JAVIER IZU, aprox. 1,00kg (2,19 euros/kg);2,19;364
Manzana Golden Ecológica JAVIER IZU, aprox. 1,00kg (1,89 euros/kg);1,89;314
Pera Conferencia Ecológica JAVIER IZU, aprox. 1,00kg (2,59 euros/kg);2,59;431
Carne picada ternera MAYTE, bandeja 400g (6,55 euros/kg);2,62;436
Chuleta de Ternera Consumer NATUR, Nacional y menor de 12 meses, 400g (13,81 euros/kg);5,524;919
Churrasco de Ternera Consumer NATUR, Nac. y menor de 12 meses, 600g (4,5 euros/kg);2,7;449
Falda Deshuesada Ternera Consumer NATUR,Nac. y menor 12 meses, 500g (4,5 euros/kg);2,25;374
Filete Babilla Ternera Consumer NATUR, Nac. y menor de 12 meses 500g (11,41 euros/kg);5,705;949
Filete Cadera Ternera Consumer NATUR, Nac. y menor de 12 meses, 500g (11,41 euros/kg);5,705;949
Filete Deshuesada Ternera Consumer NATUR,Nacional,menor 12 meses 500g (8,56 euros/kg);4,28;712
Filete Empanar Ternera Consumer NATUR, Nac. y menor de 12 meses, 400g (10,97 euros/kg);4,388;730
Filete Entrecot Ternera Consumer NATUR, Nac.y menor de 12 meses 700g (16,21 euros/kg);11,347;1888
Filete Espaldilla Ternera Consumer NATUR,Nac.y menor de 12 meses 500g (8,56 euros/kg);4,28;712
Filete Redondo Ternera Consumer NATUR, 250g (10,97 euros/kg);2,743;456
Filete Solomillo Ternera Consumer NATUR,Nac.y menor de 12 meses, 300g (22,17 euros/kg);6,651;1107
Guisar de Ternera Consumer NATUR, Nacional y menor de 12 meses 500g (6,31 euros/kg);3,155;525
Zancarrón Ternera Consumer NATUR, Nacional y menor de 12 meses 500g (6,3 euros/kg);3,15;524
Chuleta de Vaca, 400g (13,19 euros/kg);5,276;878
Estofado de Vaca LABEL, Nacional y especialmente tierna 500g (5,38 euros/kg);2,69;448
Filete Babilla Vaca Label, Nacional y especialmente tierna 500g (8,77 euros/kg);4,385;730
Filete Cadera Vaca Label, Nacional y especialmente tierna 500g (8,77 euros/kg);4,385;730
Filete Deshuesada Vaca Label, Nacional y especialmente tierna 500g (7,48 euros/kg);3,74;622
Filete Empanar Vaca Label, Nacional y especialmente tierna 400g (8,77 euros/kg);3,508;584
Filete Entrecot de Vaca, Nacional y especialmente tierna 700g (14,39 euros/kg);10,073;1676
Filete Espaldilla Vaca Label, 500g (7,48 euros/kg);3,74;622
Filete Redondo Vaca Label, Nacional y especialmente tierna 400g (8,77 euros/kg);3,508;584
Filete Solomillo de Vaca, Nacional y especialmente tierna 500g (21,61 euros/kg);10,805;1798
Zancarrón de Vaca Label, Nacional y especialmente tierna 500g (5,38 euros/kg);2,69;448
Cabezada de cerdo Consumer NATUR, con hueso, bandeja 500g (4,95 euros/kg);2,475;412
Cabezada de cerdo Consumer NATUR, sin hueso, bandeja 400g (5,25 euros/kg);2,1;349
Carne picada de cerdo MAYTE, bandeja 400g (6,4 euros/kg);2,56;426
Costilla de Cerdo Consumer NATUR, en tiras, bandeja 600g (4,5 euros/kg);2,7;449
Jamón de Cerdo Consumer NATUR, grande, en filetes, bandeja 400g (5,4 euros/kg);2,16;359
Lomo de Cerdo Consumer NATUR, mediano, bandeja 500g (7,5 euros/kg);3,75;624
Panceta de Cerdo Consumer NATUR, grande, bandeja 500g (4,4 euros/kg);2,2;366
Chuletillas de cordero NATUR, nacional, bandeja 500g (13,19 euros/kg);6,595;1097
Cordero Consumer NATUR, delantero,por cuartos,Nacional,bandeja 2,50kg (8,86 euros/kg);22,15;3685
Cordero de Leche, delantero, por cuartos, bandeja 1,50kg (11,41 euros/kg);17,115;2848
Cordero de leche, trasero, por cuartos, Nacional 1,50kg (11,41 euros/kg);17,115;2848
Paletilla de Cordero Consumer NATUR, 1,00kg (9,58 euros/kg);9,58;1594
Pierna Chuleteada de Cordero Consumer NATUR, 1,00kg (9,58 euros/kg);9,58;1594
Pierna de Cordero Consumer NATUR, 1,50kg (9,58 euros/kg);14,37;2391
1/4 Trasero de Cordero Consumer NATUR, caja 2,50kg (8,86 euros/kg);22,15;3685
Bistec de Avestruz, 500g (18 euros/kg);9;1497
Capón Gallego, Limpio y Envasado 3,50kg (7,2 euros/kg);25,2;4193
Conejo entero COROK, bandeja, aprox 1,20kg (5,4 euros/kg);6,48;1078
Conejo troceado COROK, bandeja, aprox 1,20kg (6 euros/kg);7,2;1198
Estofado de Pavo COROK, 300g (4,8 euros/kg);1,44;240
Faisan Sin Pluma, bandeja 1 unid.;10,8;1797
Jamoncitos de Pavo COROK, 600g (3 euros/kg);1,8;299
Jamoncitos de Pollo de Corral Consumer NATUR 500g (5,58 euros/kg);2,79;464
Pavita Limpia 2,50kg (3,3 euros/kg);8,25;1373
Pechuga de Pavo COROK, fileteada, 200g (6,9 euros/kg);1,38;230
Perdiz Sin Pluma, bandeja 1 unid.;6,6;1098
Pintada Limpia 1,40kg (5,7 euros/kg);7,98;1328
Pollo de Corral al Ajillo Consumer NATUR 400g (4,98 euros/kg);1,992;331
Pollo de Corral Consumer NATUR, limpio, crianza al aire libre 1,50kg (3,94 euros/kg);5,91;983
Pollo Limpio Consumer NATUR, alimentación 100% vegetal 1,60kg (2,88 euros/kg);4,608;767
Pularda, Limpia y Envasada 2,00kg (6 euros/kg);12;1997
Roti de Pavo, bandeja;5,1;849
Roti de Pollo COREN, pack 1 unid.;5,1;849
2 Muslos de Pollo Consumer NATUR, 700g (3,42 euros/kg);2,394;398
4 Pechugas Fileteadas Consumer NATUR, 500g (8,23 euros/kg);4,115;685
6 Alas de Pollo Consumer NATUR, 450g (4,56 euros/kg);2,052;341
Brocheta de Cerdo Adobada LANGU, bandeja;3,25;541
Callos Preparados ROGUSA, pack 500g;3;499
Carne Picada de Ternera LANGU, bandeja;3;499
Carne Picada de Vaca MAYTE, bandeja 400g (6,3 euros/kg);2,52;419
Escalope a la Milanesa LANGU, 400g (6,6 euros/kg);2,64;439
Hamburguesa de Cerdo LANGU, 4 unid., bandeja;1,3;216
Hamburguesa de Pollo COROK, 4 unid.;2,7;449
Hamburguesa de Ternera LANGU, bandeja;2,1;349
Hamburguesa Mixta LANGU, bandeja;1,99;331
Libritos LANGU, 400g (7,8 euros/kg);3,12;519
Morcilla de Verdura ARCENIEGA, 350g (4,18 euros/kg);1,463;243
Morcilla de Verdura RIOS, 300g (3,84 euros/kg);1,152;192
Pinchitos LANGU, bandeja;2,3;383
Relleno de Ternera ROLER 1,00kg (8,3 euros/kg);8,3;1381
Salchicha LANGU, fresquisima, bandeja 500g (5,4 euros/kg);2,7;449
Salchicha LANGU, sin colorante, bandeja 450g (6,4 euros/kg);2,88;479
Salchichas ROLER, de pollo, pack 10 unid., 1kg 450g (7,5 euros/kg);3,375;562
San Jacobo ATUTXA, 4 unid., 600g (4,99 euros/kg);2,994;498
Bacón de Pavo SERRANO, 175g;1,37;228
Cabeza de Jabali Extra VICENTE LËPEZ, 150g;1,39;231
Chicharrón Ibérico VICENTE LËPEZ, con pistachos, 150g;1,5;250
Chopped Beef CAMPOFRÍO, 200g;1,28;213
Chopped Beef CONSUMER, pack 200g;1,01;168
Chopped de Pavo CAMPOFRÍO, 200g;1,57;261
Chopped de Pavo CONSUMER, pack 200g;1,14;190
Chopped de Verduras EL POZO, 200g;1,28;213
Chopped Pavofrío CAMPOFRÍO, mini 440g;2,1;349
Chopped Pork CONSUMER, mini, 400g;1,19;198
Chopped Pork CONSUMER, pack 200g;1,01;168
Fiambre Luxe con Pistachos ARGAL, 200g;1,72;286
Jamón Cocido Artesano de Primera MARTIS, 200g;1,24;206
Jamón Cocido CONSUMER, en lonchas, sobre 200g;1,37;228
Jamón Cocido CUMBRE FRÍA, 300g;3,09;514
Jamón Cocido Extra Consumer Maestro, sobre 300g (7,17 euros/kg);2,151;358
Jamón Cocido Extra LIBRA, 200g;1,92;319
Jamón Cocido MONELLS K-1, sobre 200g;1,51;251
Jamón de Pavo CAMPOFRÍO, mini 440g;2,44;406
Lomo Sajonia VICENTE LËPEZ, 150g;1,63;271
Lunch Salami, 200g;1,19;198
Mortadela con Aceitunas CONSUMER, pack 200g;1,01;168
Mortadela CONSUMER, con aceitunas, mini 400g;1,04;173
Mortadela CONSUMER, mini, 400g;1,04;173
Mortadela CONSUMER, pack 200g;1,01;168
Mortadela EL POZO, mini, 400g;1,34;223
Paleta Cocida de Primera CONSUMER, pack 200g;1,24;206
Paleta de Primera para Sandwich CONSUMER, pack 200g;1,21;201
Pechuga de Pavo CAMPOFRÍO, 440g;2,82;469
Pechuga de Pavo MONELLS, 200g;1,92;319
Bacón Ahumado CONSUMER, pack 200g;1,53;255
Bacón Ahumado MAYTE, 200g;1,53;255
Cecina PAJARIEL, 125g;3,78;629
Centro de Jamón TREVELLEZ, 175g;3,61;601
Chistorra ARBIZU, al vacio, 250g;1,46;243
Chorizo Barbacoa OROZKO, 250g;1,42;236
Chorizo Barbacoa REVILLA, 265g;2,34;389
Chorizo Cantimpalo ACUEDUCTO, 400g;2,9;483
Chorizo Casero Asturiano FAMILA, en malla, 500g;5,37;893
Chorizo Casero BORDON, 340g;3,74;622
Chorizo Casero con pimientos OROZKO, 300g;2,81;468
Chorizo Casero Extra PALACIOS, 280g;2,65;441
Chorizo Casero ILLERA, 200g;1,25;208
Chorizo Casero OROZKO, sarta 300g;2,54;423
Chorizo de Pamplona y Salchichón CONSUMER, pack 200g;1,57;261
Chorizo de Primera PALACIOS, 280g;2,11;351
Chorizo Dulce Extra CONSUMER, sarta 280g;2,3;383
Chorizo Dulce SASA, sarta 275g;2,42;403
Chorizo Fresco Dulce PALACIOS, 300g;2,21;368
Chorizo Oreado PALACIOS, 250g;1,97;328
Chorizo Pamplona PAMPLONICA, 175g;1,45;241
Chorizo Picante Extra CONSUMER, sarta 280g;2,3;383
Chorizo Picante Extra PALACIOS, 280g;2,65;441
Chorizo Picante SASA, sarta 275g;2,42;403
Chorizo Pimienta MONT PALAU, 150g;1,57;261
Chorizo Vela Dulce Extra CONSUMER, pack 200g;1,07;178
Chorizo Vela Picante Extra CONSUMER, pack 200g;1,07;178
Chorizo Vela Salamanca IGLESIAS, 400g;2,85;474
Chorizo Vela Selecto REVILLA, 450g;3,37;561
Chorizo Vela y Pamplona CONSUMER, pack 200g;1,57;261
Chorizo Vela y Salchichón CONSUMER, pack 200g;1,57;261
Fuet Atesano ARGAL, 180g;1,57;261
Fuet CASA TARRADELLAS, 180g x 2 unid.;3,28;546
Fuet Casero EL POZO, 170g;1,5;250
Fuet Espetec MONT PALAU, 180g;1,48;246
Fuet Extra CASADEMONT, 175g;1,55;258
Fuet San Geronimo CASADEMONT, 175g;0,92;153
Jamón Curado EL POZO, 200g;3,58;596
Jamón Curado Jess ARGAL, 175g;3,01;501
Lomo Embuchado CONSUMER, pack 150g;2,92;486
Longaniza Imperial EL POZO, 250g;1,93;321
Salami Extra CONSUMER, pack 200g;1,43;238
Salchichón Casero de montaña CASADEMONT, 250g;2;333
Salchichón Casero ESPUÐA, 350g;2,71;451
Salchichón Grueso CONSUMER, pack 175g;1,63;271
Salchichón III Goikoa, 175g;1,13;188
Salchichón Kicon ESPUÐA, 250g;2;333
